dataset,model_key,label,cfg,epochs,imgsz,batch,amp,deterministic,project,status,train_time_sec,train_time_min,train_time_h,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,params,moablocks,c2fmoa,results_csv,results_plot,best_weight
VisDrone,v10,YOLO-Master v0.10 baseline,ultralytics/cfg/models/master/v0_10/det/yolo-master-n.yaml,50,640,24,False,True,runs/moa_ablation/visdrone_v10_50ep,completed,7990.27,133.17,2.22,0.31388,0.24208,0.22113,0.12119,1.54358,1.19714,0.97160,0.00006,1.54373,1.19511,0.95679,0,3449963,0,0,runs/moa_ablation/visdrone_v10_50ep/v10/results.csv,runs/moa_ablation/visdrone_v10_50ep/v10/results.png,runs/moa_ablation/visdrone_v10_50ep/v10/weights/best.pt
VisDrone,v10_moa,YOLO-Master v0.10 MoA,ultralytics/cfg/models/master/v0_10/det/yolo-master-moa-n.yaml,50,640,24,False,True,runs/moa_ablation/visdrone_v10_50ep,completed,9325.67,155.43,2.59,0.32180,0.23843,0.22018,0.12104,1.55375,1.20763,0.97522,0.00012,1.54962,1.19342,0.95856,0,3576587,6,3,runs/moa_ablation/visdrone_v10_50ep/v10_moa/results.csv,runs/moa_ablation/visdrone_v10_50ep/v10_moa/results.png,runs/moa_ablation/visdrone_v10_50ep/v10_moa/weights/best.pt
